Title,Location,Company,Salary,Sponsored,Description
Software Engineer,Islamabad,Teradata,None,Sponsored,"Requisition Number: 206273 Position Title: Analytics Consulting II External Description: Teradata GDC Pakistan is seeking JAVA/J2EE with Angular 6-7 professional.In the role of software engineering, you will interface with key stakeholders and apply your technical proficiency across different stages of the Software Development Life Cycle including Requirements Elicitation, Application Architecture definition and Design. You will play an important role in creating the high-level design artifacts. You will also deliver high quality code deliverables for modules, visualizations and driving team for all types of testing and support activities related to implementation, transition and warranty. You will be part of a learning culture, where teamwork and collaboration are encouraged, excellence is rewarded, and diversity is respected and valued.Location for this position is Islamabad, Pakistan. This position may require travel and / or relocation. Responsibilities Requirements Desirable Personal skills CountryEEOText_Description: City: Islamabad State: Islamabad Community / Marketing Title: Software Engineer Job Category: Consulting Company Profile: With all the investments made in analytics, it’s time to stop buying into partial solutions that overpromise and underdeliver. It’s time to invest in answers. Only Teradata leverages all of the data, all of the time, so that customers can analyze anything, deploy anywhere, and deliver analytics that matter most to them. And we do it at scale, on-premises, in the Cloud, or anywhere in between. We call this Pervasive Data Intelligence. It’s the answer to the complexity, cost, and inadequacy of today’s analytics. And it's the way Teradata transforms how businesses work and people live through the power of data throughout the world. Join us and help create the era of Pervasive Data Intelligence. Location_formattedLocationLong: Islamabad, Islamabad PK"
Senior Software Engineer,Islamabad,Teradata,None,Sponsored,"Requisition Number: 206198 Position Title: Analytics Consulting III External Description: Job DescriptionPositionApplication Architect/Senior Software EngineerLocation IslamabadEducationBachelors in CS (Masters would be a plus)ExperienceExperience:Key SkillsKey skills:TechnologiesTechnologies: Roles and ResponsibilitiesRoles and Responsibilities: CountryEEOText_Description: City: Islamabad State: Islamabad Community / Marketing Title: Senior Software Engineer Job Category: Consulting Company Profile: With all the investments made in analytics, it’s time to stop buying into partial solutions that overpromise and underdeliver. It’s time to invest in answers. Only Teradata leverages all of the data, all of the time, so that customers can analyze anything, deploy anywhere, and deliver analytics that matter most to them. And we do it at scale, on-premises, in the Cloud, or anywhere in between. We call this Pervasive Data Intelligence. It’s the answer to the complexity, cost, and inadequacy of today’s analytics. And it's the way Teradata transforms how businesses work and people live through the power of data throughout the world. Join us and help create the era of Pervasive Data Intelligence. Location_formattedLocationLong: Islamabad, Islamabad PK"
Software Engineer,Islamabad,APIMatic,"Rs 60,000 - Rs 120,000 a month",Organic,"As a software engineer, you will function with APIMatic’s Core team to maintain and enhance our state-of-the-art Code Generation engine. We are looking for a person looking to work in a product-based company, who can grow and evolve with the product.
As part of your job you will have to know/learn more than one programming language, for which you will be generating code using our CodeGen engine, which is written in C#.
Requirements:
Minimum 1 year of relevant experience
Expertise in C# and/or Java
Understanding of how REST APIs work
Experience working with Git
Bonus Points for Experience with:
Ruby, TypeScript, NodeJS, PHP, Golang
Swagger/Open API spec & Swagger codegen
API design/testing
Basic understanding of package repositories like Nuget, PyPi and RubyGems
CI/CD (we use Jenkins)
DevOps
Education
Bachelor’s degree in Computer Science/Software Engineering or similar.
Job Type: Full-time
Salary: Rs60,000.00 to Rs120,000.00 /month
Experience:
c#: 1 year (Preferred)"
Software QA/QC Engineer,Islamabad,DatumSquare IT Services,None,Organic,"Datumsquare IT Services is urgently looking to hire for the following positions, please read the job requirements clearly before you apply:
Software QA/QC Engineers
(Experience in automation is a must) Experience Required: 1 years - 2 year. Experience in Selenium Web Driver and J Meter is preferred. Excellent English communication skills. Preference will be given to candidates who can join immediately.
Location: Islamabad
Preference will be given to candidates who can join immediately.
Candidates should possess excellent English communication skills and be willing to work from 5:30 PM - 2:00 AM/Monday-Friday. (No late sittings) Excellent salary packages and benefits. Only shortlisted candidates will be contacted.
Job Type: Full-time
Experience:
Automation Testing: 1 year (Required)
Manual Testing: 1 year (Required)
SQA: 1 year (Required)
Education:
Bachelor's (Required)
Location:
Islamabad (Required)
Language:
Excellent English Communication Skills (Required)"
Associate Software Engineer,Islamabad,Bentley Systems,None,Organic,"Colleagues will work on different projects prioritized and assigned by office of the CTO for Strategic Technology Advancement team.

Required skillset:
Fresh graduates BS/MS Degree in Computer Sciences or Software Engineering from a recognized institute.

Strong conceptual and practical foundation of core Computer Science concepts including Algorithms, Data Structures, Operating Systems and Object Oriented Programming.

Good to have Artificial Intelligence, Machine Learning and Deep Learning knowledge.

Good to have experience and knowledge of Web Service development, Microsoft Azure, microservices, Docker Containers.

Strong programming concepts and knowledge."
Trainee Software Engineer,Islamabad,DevoMech Solutions,None,Organic,"DevoMech Solutions is hiring human resources for full-time employment in Islamabad.
Trainee Software Developer Eligibility Criteria:
- BS in CS/CE/EE or similar
- Job Experience: 0-1 year
- Hands-on experience in interesting projects.
- Experience in Python, MySql, and PHP.
- Interest in Desktop Application Development.
Good to have:
- Interest in Web-development, Web Applications.
- Interest/Experience of Wordpress.
- Interest in using Photoshop (or similar) for Web designing.
DevoMech Solutions is a startup providing services in Mechanical, Electronics and Firmware/Software Development. We design and prototype innovative products for our overseas clients. We believe in uplifting the skillset of our team which enables us to deliver exceptional quality products to our clients.
Please email your resume and portfolio at usmansardar@devomech. com
Job Types: Full-time, Internship, New-Grad"
Customer Support Engineer,Islamabad,APIMatic,"Rs 50,000 - Rs 100,000 a month",Organic,"A Customer Support Engineer will be mainly responsible for:
Offering timely support to both technical/non-technical customers by promptly and accurately responding to their queries, feature requests, bug reports, etc. over email or chat applications.
Asking customers targeted questions to quickly understand the root of the problem.
Contributing to product improvement by collecting customer feedback and identifying patterns or any other necessary information from the customer interaction.
Taking ownership of technical issues/queries and coordinating with relevant team members from engineering, sales or marketing to get them resolved.
Prioritizing and managing several open issues at one time. This includes proper recording, tracking and resolving all the issues.
Following up timely with customers to notify them of bug fixes, feature releases, etc. thus ensuring their full satisfaction.
Providing weekly/monthly report of customer issues and their status.
Job Criteria
BS degree in Computer Science, Software Engineering, Information Technology or any relevant field.
0-2 year of work experience.
Excellent communication and people skills.
Excellent written and verbal skills.
Ability to provide step-by-step technical help, both written and verbal.
Excellent problem-solving skills. Ability to diagnose and troubleshoot basic technical issues.
Firm grasp of how the web works and software products.
Knowledge of REST APIs or SDKs etc. is a plus.
Familiarity with help desk softwares (e.g. Zendesk) is a plus.
Job Type: Full-time
Salary: Rs50,000.00 to Rs100,000.00 /month
Experience:
Technical Support: 1 year (Preferred)"
Software Engineer,Islamabad,Broadpeak Technologies,None,Organic,"2 year(s) or above experience

Islamabad
Responsibilities:
Required skills are ASP.NET, C#, VB.NET, REST and SOAP APIs, HTML, CSS, JavaScript, JQuery.
Adequate knowledge of relational database systems.
Impressive problem diagnosis and creative problem solving skills
Strong organizational skills to juggle multiple tasks within the constraints of timelines
Must be a good team player.
6. Willing to learn and work on new technologies and that can improve quality, scalability of existing software.
Skills:
Relevant certification in the domain is a must.
Good interpersonal and communication (both verbal and written) skills with clear understanding of Business process flow.
Problem solving and analytical thinking..
Internally motivated, able to work proficiently both independently and in a team environment
Strong initiative to find ways to improve solutions, systems, and processes
A can do approach."
Associate Software Engineer - Multiple Roles Available (Java...,Islamabad,"Global Rescue, LLC",None,Organic,"COMPANY
Global Rescue is a worldwide provider of integrated medical, security, intelligence and crisis response services to enterprise, government, and consumer clients. Founded in 2004 Global Rescue’s unique operational model provides best-in-class services that identify, monitor, and respond to threats and emergencies. Global Rescue has an exclusive relationship with Johns Hopkins Medicine and has provided medical, security, and evacuation support to clients during every globally significant crisis of the last decade, including: the Arab Spring; the Japanese tsunami; the Haitian earthquake; Georgia’s invasion by Russia; and the Mumbai terrorist attacks. For more information, please see www.globalrescue.com .
RESPONSIBILITIES
ASE positions are available in three different programming teams of GRID, these teams are
Microsoft Dot Net Team: Responsible for developing extensions, plugins, webpages and customization code for Microsoft Dynamics.
ASE Java EE Team: Responsible for developing GR custom built enterprise web application in JEE.
Mobile App Team: Responsible for mobile client application for three platforms Android, iOS and BlackBerry.
ASE team specific responsibilities in his/her respective teams will be as following:
ASE Microsoft Dot Net Team
Develops software in C#, ASP.net and other in any other dot net related language or tool.
Design and develop solutions that can extend Microsoft Dynamics functionality, including JavaScript, plugins, etc.
Develop web application pages and components in Asp.net/C#, HTML4, CSS3, JQuery etc.
Design and develop Web Services that integrate Dynamics functionality to other systems
ASE Java EE Team
Develop software in Java and different JEE frameworks (JSF, EJBs, Hibernate, JTA, JPA etc.) and other in any other dot net related language or tool.
Develop web application pages and components in JSF HTML4, CSS3, and JQuery etc.
Mobile App Team
Design and Develop Mobile application for Android, iOS or BlackBerry using Java, Object-C (and/or swift) or C/C++ respectively
Use SOAP and Restful web services to communicate with backend server using platform provided communication services.
Common responsibilities for all ASEs
ASE will be responsible for developing Global Rescue software products and/or applications in given tools & technologies, consistently following GRID Systems design & coding standards and in accordance with applicable software development methodology and release processes.
Develop solutions as per provided designs documents for different functionality as part of a software project.
Utilizes software engineering tools such as configuration management systems, build processes, and debuggers in the software development process.
Learn and provide reliable solutions to a variety of problems using sound problem solving techniques.
Learn and performs technical root cause analysis and outlines corrective action for given problems.
Create & execute unit tests to ensure functional integrity of solutions.
Document the design of solution interfaces, implementations, and dependencies.
Learn and adopt new frameworks, tools and technologies.
Complete any other software development and IT infrastructure activities.
Any other technology related tasks as necessary.
IDEAL QUALIFICATIONS
Bachelors in IT/Computer Science
Fresh Graduate or 1 years plus HTML, CSS, JavaScript and Java/C++/C # programming industrial experience
Thorough knowledge & understanding of:
Programming skills for solving complex CS problems.
Data Structures and Algorithms.
Object Oriented Analysis and Design.
Basic Design Patterns.
Database Designing and TSQL Programming.
Good practical programming knowledge of
For ASE Microsoft Dot Net Team
Dot Net framework 3.5 plus, C # and ASP.net
Entity Framework and/or ADO.net
Windows Communication Framework
HTML4 and HTML5,CSS3, JQuery JavaScript
Database Programming for MS-SQL
SharePoint and Dynamics is preferred
For ASE Java EE Team
Java 1.6 Plus /JEE 1.5 Plus
Hibernate and/or JDBC
JAX-WS and JAX-RS
HTML4 and HTML5,CSS3, JQuery JavaScript
JSP, JSF, JUnit, Eclipse, Git SCM
JBoss Application Server or any J2EE 1.5+ compliant java app server
Google map API Version 3 Plus
Database Programming for MySQL Server / PostgreSQL or any other RDBMS
For Mobile App Team
Software Design and Development for Android, iOS and BlackBerry in Java, Object-C, C/C++ respectively.
Software debugging & use of different IDEs for faster development.
Communication Services of the respective platforms
Platform design & coding standards
Mobile application UI standards
Location: Islamabad, PAKISTAN
Compensation: salary based on experience + bonus + benefits"
Software Engineer/.Net Developers,Islamabad,Dera IT Solutions,None,Organic,"Software Engineer/.Net Developers
In depth knowledge of .NET Platform
Practical experience on C# and ASP.NET
Database Programming with MS SQL Server
Strong Object Oriented Analytical skills
Good knowledge on HTML, XHTML, AJAX, JavaScript and JQuery
Assist and coordinate with project managers to perform project analysis, determining functional and technical business requirements, application development.
Must have experience of working in crystal reports and other reporting softwares."
